	English						
mission.UnitedForever.desc	<color=#FFFEC1>Task:</color> Reach the media center of the Unveiled spacecraft and transmit a propaganda broadcast to SBN.<br><br><color=#FFFEC1>Details:</color> We must board the HIS Unveiled. Once on board, we need to break through AnCom's security service to reach the media center. Using AnCom's digital infrastructure, we will transmit the message of the Civil Resistance to the people of the Solar System.<br><br><color=#FFFEC1>Additional Info:</color> Citizen mercenaries, it's time to stick bayonets on your rifles. Silence, you speakers! Comrade Liberator, you have the floor.<br><br>Our cooperation with the Civil Resistance has led to increased trust and strengthened camaraderie. Now, we face an important and responsible task. The AnCom Corporation is the dark horse in the Hexarchy. There should be six of the wealthiest corporations in the system, right? AnCom has never made such an impression. Nevertheless, they have always been in the spotlight. Now, we suspect that the anarchy in the Solar System is a deception. In reality, we live under the rule of corporate bureaucracy of the Hexarchy. Perhaps AnCom is the secret governing body of this corrupt system?<br><br>We will launch a sudden attack on the HIS Unveiled, which has been suspiciously orbiting Venus for a long time. We will reach the media center of the spacecraft, connect to SBN using AnCom's infrastructure, and send a message to the people of the System that will spark a rebellion.						
mission.UnitedForever.details							
mission.UnitedForever.briefing	We'll drop you off two levels away from the media center. The shuttle has been detected, and significant AnCom security forces are gathering where we'll eject you. Be prepared for intense contact.						
mission.UnitedForever.objective0	The message from the Civil Resistance needs to be transmitted from the spacecraft's media center.						
mission.UnitedForever.objective1	Everything is ready for evacuation. AnCom security did not touch our shuttle. I hate to say it, but they might have known how it would all play out even before we started the operation.						
mission.UnitedForever.stage1.name							
mission.UnitedForever.stage2.name							
mission.UnitedForever.stage3.name							
mission.UnitedForever.stage4.name							
mission.UnitedForever.after	Boss, we can continue working with the guys... with the guy from the Civil Resistance. Together, we may come up with a more precise target for our next strike.						
mission.HumansAreSuchEasyPrey.name	Humans are Such Easy Prey						
mission.HumansAreSuchEasyPrey.desc	"<color=#FFFEC1>Task:</color> Destroy the network infrastructure in RealWare's building ""Candle.""<br><br><color=#FFFEC1>Details:</color> We must reach the routing equipment on the technical floor of the largest lunar arcology. If we destroy everything there, communication within the Inner System will be completely disrupted.<br><br><color=#FFFEC1>Additional Info:</color> Together with Tezctlan, we are ready to attack where corporations do not expect it. There is an arcology on the Moon, founded by the largest and wealthiest corporation, RealWare. The network equipment is located on the technical floor. It handles the routing of information throughout the Inner System. Tetzclan demands that we break through there and launch a neurovirus into the system. It will not only burn everything in its path but also overload the nodes maintaining the session. Corporations will be blinded for a long time, and SBN might suffer significant losses in just a few seconds.<br><br>If this strike is carried out in the name of Tezctlan, we will undoubtedly gain the opportunity to lead his legions in future conquests.<br><br>Tezctlan once already destroyed the Martian bramfatura. He killed its tyrant, who brought terror to the world of quasimorphs. Soon, he will restore his power and venture beyond Venus. For now, we will be the edge of his spear."						
mission.HumansAreSuchEasyPrey.details							
mission.HumansAreSuchEasyPrey.briefing	We'll drop you off on the arcology's rooftop. Naturally, there will be resistance. Good news: it's just two levels from the rooftop to the technical floor.						
mission.HumansAreSuchEasyPrey.objective0	You need to reach the central router and load the neurovirus into it. You have it with you.						
mission.HumansAreSuchEasyPrey.objective1	Something incredible is happening. We are changing the future of the System.						
mission.HumansAreSuchEasyPrey.stage1.name							
mission.HumansAreSuchEasyPrey.stage2.name							
mission.HumansAreSuchEasyPrey.stage3.name							
mission.HumansAreSuchEasyPrey.stage4.name							
mission.HumansAreSuchEasyPrey.after	You are a good warrior. You take on tasks without question and see them through to the end. Continue to serve faithfully, and one day, you will lead one of my legions.						
mission.LesserEvil.name	Lesser Evil						
mission.LesserEvil.desc	<color=#FFFEC1>Task:</color> Kill Tezctlan.<br><br><color=#FFFEC1>Details:</color> Beneath the war-ravaged colony of Oddibjord-3 on Venus lies the phased temple. Xiomara informs us that Tezctlan is there.<br><br><color=#FFFEC1>Additional Info:</color> Xiomara speaks of Tezctlan as a cowardly king. He once fled his kingdom to Earth. Ganix had not seen him for a thousand years. Only a few months ago, the quasimorphs of Venus felt his return. The Fresco corporation's transport spacecraft brought a fragment of an ancient temple wall from the city of Aztlan on Earth to the planet. Tetzclan slept inside, depicted by a primitive image of himself. After that, Dr. Eipshwitz found a way to infiltrate the ancient king's dreams and learned the method of awakening from him. Fresco decided to take this step to save their corporation from destruction.<br><br>The only reason Tetzclan did not immediately seize power was Xiomara. However, we dealt with her. Dr. Eipshwitz led us on a false trail, leading to where Fresco held her captive. That's where we killed her. Or, we thought we did. After that, she found us.<br><br>Now we owe her a debt. And she asks us to repay it by getting rid of Tetzclan. The analytical department says the contract we have with Xiomara is fair in light of what has happened. Contracts, deals. All the evil in the world comes from contracts.						
mission.LesserEvil.details							
mission.LesserEvil.briefing	We'll drop you off on the streets of Oddibjord-3. Look for the entrance to the underground level, and from there, make your way to the phased temple. I can't help you any further, boss. How did we end up where we are now?						
mission.LesserEvil.objective0	You need to kill Tezctlan. He is in the phased temple underground.						
mission.LesserEvil.objective1	Tezctlan is not in Gannix. Neither he nor his ghost. Leave Venus immediately!						
mission.LesserEvil.stage1.name							
mission.LesserEvil.stage2.name							
mission.LesserEvil.stage3.name							
mission.LesserEvil.stage4.name							
mission.LesserEvil.after	Boss, what happened? Our sensors are off the charts!						
mission.Corp_Corp_RaiderCapture1.desc	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Corp_Corp_RaiderCapture1.details	"<color=#FFFEC1>Details:</color> %BENEFICIARY_NAME% is actively increasing its influence in the Solar System. It uses the chaos of the new redistribution of property for sabotage, murder, espionage against competitors, the Unchained Belt and the Civil Resistance. %STATION_NAME% is the target of so-called ""direct actions"". This is where we come into the game.<br><br>A simple task: you will board on, then you should <color=#FFFEC1>kill everyone</color> who is able to hold a weapon, and then you should leave before this place becomes another branch of hell. Representatives of the customer will accept the object without us. %VICTIM_NAME% is already sending out protest notes through official channels and contracts for the protection of %STATION_NAME% through channels for PMCs.<br><br>Oh, I almost forgot. Clearing a station for capture offers <color=#FFFEC1>a solid reward</color>. And <color=#FFFEC1>a trusting relationship</color> with %BENEFICIARY_NAME% won't hurt at all."						
mission.Corp_Corp_RaiderCapture1.briefing	10 seconds until landing. As soon as the <color=#FFFEC1>Security Service or PMC</color> guarding %STATION_NAME% realize that the battle is lost, they will retreat or lay down their arms. It is enough to <color=#FFFEC1>destroy 50% of the combatants</color>. If you think that you have enough strength and resources, you can explore this place. Apart from the capture, nothing else is included in the contract, that is, the customer will accept %STATION_NAME% in any condition. Welcome to the world of healthy and fair competition.						
mission.Corp_Corp_RaiderCapture1.objective0	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Corp_Corp_RaiderCapture1.after	Employees of %VICTIM_NAME% have already digitally signed the declaration of sale of the asset to %BENEFICIARY_NAME%. We elegantly handled the acquisition deal. The customer was satisfied, and the reward has already been transferred to Magnum.						
mission.Corp_Corp_Elimination1.desc	<color=#FFFEC1>Task:</color> Find and eliminate the scientist of %VICTIM_NAME%.						
mission.Corp_Corp_Elimination1.details	<color=#FFFEC1>Details:</color> Fair competition is the key to rapid progress in science. How is this described in <color=#FFFEC1>NCE</color>? Lagging behind competitors will inevitably force the entrepreneur to multiply its efforts in order to maintain its position in the Market. So let's multiply. From the analysis of the SBN traffic, it became clear that %BENEFICIARY_NAME% is interested in the <color=#FFFEC1>scientist</color>, currently working at %STATION_NAME%. Not in the scientist itself, but in obstructing their work. Apparently, %VICTIM_NAME% is planning some kind of breakthrough. If it happens, %BENEFICIARY_NAME% will lose its position in the market. We are expected to act cleanly and quickly: boarding, search, <color=#FFFEC1>elimination of target</color>, then evacuation.						
mission.Corp_Corp_Elimination1.briefing	The target's signature is visible on the sensors. It won't be difficult to identify them - look for <color=#FFFEC1>white robe</color> and a smart face. This breed of people clings to traditions so much that they don’t even need an ancap - they would be happy even with a caste system. We will land the shuttle at a location in %STATION_NAME% where the defense systems allow it. Move from level to level until you reach the target. Resistance is expected: local <color=#FFFEC1>Security Service or PMC</color> are already occupying combat posts. Exploring %STATION_NAME% is not included in the task list, but if you see something interesting, it is not prohibited by the contract.						
mission.Corp_Corp_Elimination1.objective0	New day, new routine job. Your target: <color=#FFFEC1>scientist</color>, probably working on something extremely useful for all humanity.						
mission.Corp_Corp_Elimination1.after	Market balance has been restored. Now everyone is on an equal footing again. This is why we love <color=#FFFEC1>egalitarian capitalism</color>. %BENEFICIARY_NAME% sent us a valuable package so that we could conduct field tests. There are some of its new products. The cargo is already on board of Magnum.						
